일시,평균기온
2023-01-01,-1.781023
2023-01-02,-1.7052307
2023-01-03,-2.0017004
2023-01-04,-1.5672112
2023-01-05,-1.7072144
2023-01-06,-2.1075583
2023-01-07,-2.158288
2023-01-08,-2.0683708
2023-01-09,-1.9136925
2023-01-10,-1.9930344
2023-01-11,-1.7961912
2023-01-12,-1.9714365
2023-01-13,-2.07557
2023-01-14,-1.9081192
2023-01-15,-1.9050541
2023-01-16,-1.9752111
2023-01-17,-1.9327898
2023-01-18,-1.925663
2023-01-19,-1.7001667
2023-01-20,-1.3355598
2023-01-21,-1.4103928
2023-01-22,-1.76229
2023-01-23,-2.0113993
2023-01-24,-2.0183115
2023-01-25,-2.014721
2023-01-26,-2.2328234
2023-01-27,-2.170474
2023-01-28,-1.8096437
2023-01-29,-1.6204853
2023-01-30,-1.6323566
2023-01-31,-1.6640015
2023-02-01,-1.7991619
2023-02-02,-1.736969
2023-02-03,-1.6858253
2023-02-04,-0.97673225
2023-02-05,-0.696681
2023-02-06,-0.44710922
2023-02-07,-0.54794025
2023-02-08,-0.59422684
2023-02-09,-0.13160324
2023-02-10,0.20231342
2023-02-11,0.0047597885
2023-02-12,0.055231094
2023-02-13,0.45341682
2023-02-14,0.66463375
2023-02-15,0.860384
2023-02-16,1.3446865
2023-02-17,2.015996
2023-02-18,1.9271069
2023-02-19,1.9024582
2023-02-20,2.4222488
2023-02-21,2.3691616
2023-02-22,2.5518646
2023-02-23,2.769948
2023-02-24,2.3016577
2023-02-25,2.461318
2023-02-26,2.947814
2023-02-27,2.6121511
2023-02-28,2.402381
2023-03-01,3.287818
2023-03-02,3.8599472
2023-03-03,4.0326586
2023-03-04,4.3601456
2023-03-05,4.2050724
2023-03-06,4.3774414
2023-03-07,4.5031414
2023-03-08,4.6776114
2023-03-09,4.635042
2023-03-10,4.9790683
2023-03-11,4.9688535
2023-03-12,5.3363614
2023-03-13,5.5545835
2023-03-14,5.382262
2023-03-15,6.0883765
2023-03-16,6.1291933
2023-03-17,6.6197224
2023-03-18,6.722915
2023-03-19,6.410975
2023-03-20,7.136456
2023-03-21,7.435995
2023-03-22,7.211631
2023-03-23,7.1975255
2023-03-24,7.736475
2023-03-25,8.105227
2023-03-26,8.515131
2023-03-27,8.47077
2023-03-28,8.771848
2023-03-29,8.824892
2023-03-30,8.782391
2023-03-31,9.001397
2023-04-01,9.017595
2023-04-02,9.649402
2023-04-03,9.606041
2023-04-04,9.559675
2023-04-05,10.371034
2023-04-06,10.241049
2023-04-07,10.767733
2023-04-08,10.768684
2023-04-09,10.859822
2023-04-10,11.495028
2023-04-11,11.4489765
2023-04-12,11.776464
2023-04-13,12.087863
2023-04-14,12.16371
2023-04-15,12.349034
2023-04-16,12.17035
2023-04-17,12.391795
2023-04-18,12.774507
2023-04-19,12.957726
2023-04-20,12.780296
2023-04-21,13.153566
2023-04-22,13.46916
2023-04-23,13.824343
2023-04-24,13.282077
2023-04-25,13.659536
2023-04-26,14.202158
2023-04-27,14.497446
2023-04-28,14.726975
2023-04-29,14.95332
2023-04-30,15.229556
2023-05-01,15.293025
2023-05-02,15.651686
2023-05-03,15.724186
2023-05-04,16.016296
2023-05-05,16.562878
2023-05-06,16.78929
2023-05-07,15.942943
2023-05-08,16.127298
2023-05-09,16.558811
2023-05-10,17.049463
2023-05-11,17.118504
2023-05-12,17.647255
2023-05-13,17.879759
2023-05-14,17.69959
2023-05-15,17.600937
2023-05-16,17.92144
2023-05-17,18.442114
2023-05-18,18.462091
2023-05-19,18.538185
2023-05-20,18.413189
2023-05-21,18.740482
2023-05-22,19.486889
2023-05-23,19.200851
2023-05-24,19.344437
2023-05-25,19.6199
2023-05-26,19.855598
2023-05-27,20.102987
2023-05-28,20.651442
2023-05-29,20.78349
2023-05-30,21.01203
2023-05-31,20.990768
2023-06-01,21.317387
2023-06-02,21.410175
2023-06-03,21.16841
2023-06-04,21.39915
2023-06-05,21.256685
2023-06-06,21.653633
2023-06-07,21.837376
2023-06-08,22.012943
2023-06-09,22.216408
2023-06-10,22.04079
2023-06-11,21.946724
2023-06-12,22.508614
2023-06-13,22.640865
2023-06-14,22.531742
2023-06-15,22.488718
2023-06-16,22.691093
2023-06-17,22.938108
2023-06-18,23.099072
2023-06-19,23.003862
2023-06-20,23.223448
2023-06-21,23.089828
2023-06-22,23.101677
2023-06-23,23.188572
2023-06-24,23.584414
2023-06-25,23.109325
2023-06-26,23.359932
2023-06-27,23.674305
2023-06-28,24.089588
2023-06-29,24.01025
2023-06-30,24.084522
2023-07-01,24.286453
2023-07-02,24.19916
2023-07-03,24.2109
2023-07-04,24.165775
2023-07-05,23.901318
2023-07-06,24.282269
2023-07-07,24.52451
2023-07-08,24.542923
2023-07-09,24.495028
2023-07-10,24.382578
2023-07-11,24.596317
2023-07-12,24.862247
2023-07-13,24.876373
2023-07-14,24.646015
2023-07-15,24.9893
2023-07-16,24.95331
2023-07-17,25.101585
2023-07-18,25.145248
2023-07-19,25.715425
2023-07-20,25.793022
2023-07-21,25.931778
2023-07-22,25.925804
2023-07-23,25.884727
2023-07-24,25.976616
2023-07-25,25.81202
2023-07-26,25.870508
2023-07-27,25.947853
2023-07-28,26.388357
2023-07-29,26.641354
2023-07-30,26.62954
2023-07-31,26.865334
2023-08-01,27.126574
2023-08-02,27.358423
2023-08-03,26.856112
2023-08-04,26.835978
2023-08-05,27.091862
2023-08-06,26.904144
2023-08-07,26.61001
2023-08-08,26.209963
2023-08-09,26.364632
2023-08-10,26.679401
2023-08-11,26.38012
2023-08-12,26.341839
2023-08-13,26.592468
2023-08-14,26.600601
2023-08-15,26.816391
2023-08-16,26.915348
2023-08-17,26.574142
2023-08-18,26.353445
2023-08-19,25.885597
2023-08-20,25.5628
2023-08-21,25.556576
2023-08-22,25.546127
2023-08-23,25.482233
2023-08-24,25.062601
2023-08-25,24.924187
2023-08-26,25.132225
2023-08-27,24.559422
2023-08-28,24.29677
2023-08-29,24.302967
2023-08-30,24.394138
2023-08-31,24.248453
2023-09-01,24.067574
2023-09-02,23.723772
2023-09-03,23.320555
2023-09-04,23.242462
2023-09-05,23.414898
2023-09-06,23.41634
2023-09-07,23.276733
2023-09-08,23.267515
2023-09-09,23.403337
2023-09-10,23.153126
2023-09-11,23.26405
2023-09-12,23.134233
2023-09-13,22.535198
2023-09-14,22.18553
2023-09-15,22.219604
2023-09-16,21.92931
2023-09-17,21.755684
2023-09-18,21.733831
2023-09-19,21.588243
2023-09-20,21.144918
2023-09-21,20.84523
2023-09-22,20.417402
2023-09-23,20.154402
2023-09-24,19.795166
2023-09-25,19.526997
2023-09-26,19.695532
2023-09-27,19.603487
2023-09-28,19.44511
2023-09-29,19.28859
2023-09-30,19.038052
2023-10-01,19.096958
2023-10-02,18.752056
2023-10-03,18.783012
2023-10-04,18.573093
2023-10-05,17.909435
2023-10-06,17.677233
2023-10-07,17.665129
2023-10-08,17.741585
2023-10-09,17.101355
2023-10-10,16.91344
2023-10-11,16.92435
2023-10-12,16.742697
2023-10-13,16.072912
2023-10-14,15.906075
2023-10-15,15.63039
2023-10-16,15.583744
2023-10-17,15.676856
2023-10-18,15.593536
2023-10-19,15.628823
2023-10-20,15.540506
2023-10-21,15.0910425
2023-10-22,14.743679
2023-10-23,14.32156
2023-10-24,13.660525
2023-10-25,12.953557
2023-10-26,12.748448
2023-10-27,12.58511
2023-10-28,12.83711
2023-10-29,12.683578
2023-10-30,12.338279
2023-10-31,12.273378
2023-11-01,12.135071
2023-11-02,11.555058
2023-11-03,11.462915
2023-11-04,11.208639
2023-11-05,10.834171
2023-11-06,10.392342
2023-11-07,10.182581
2023-11-08,9.482827
2023-11-09,9.186929
2023-11-10,9.274933
2023-11-11,8.929536
2023-11-12,8.851614
2023-11-13,8.598778
2023-11-14,8.64376
2023-11-15,8.469126
2023-11-16,7.718269
2023-11-17,7.041613
2023-11-18,6.839894
2023-11-19,6.524681
2023-11-20,6.7492566
2023-11-21,6.43456
2023-11-22,5.8123956
2023-11-23,5.1954403
2023-11-24,5.2199607
2023-11-25,5.079526
2023-11-26,4.5960608
2023-11-27,4.4502144
2023-11-28,4.266839
2023-11-29,3.9475698
2023-11-30,3.811368
2023-12-01,3.6005754
2023-12-02,3.5353022
2023-12-03,3.2803907
2023-12-04,3.2053194
2023-12-05,2.621107
2023-12-06,2.1251364
2023-12-07,1.6398239
2023-12-08,1.5720501
2023-12-09,1.3966436
2023-12-10,0.8491678
2023-12-11,0.65424633
2023-12-12,0.28584766
2023-12-13,0.86001015
2023-12-14,0.62301826
2023-12-15,0.6448488
2023-12-16,0.58626366
2023-12-17,0.37452793
2023-12-18,0.18241405
2023-12-19,-0.12364292
2023-12-20,-0.28544617
2023-12-21,-0.101760864
2023-12-22,-0.50986195
2023-12-23,-1.2287254
2023-12-24,-1.5421181
